Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.094892,-9.73E-05,0.0033522,0,0,0,0.11671,8.75E-05,3.93E-06,-3.51E-05,0.00020725,2.42E-07,0.00024698,0,0,0,0,0,0,package://lefthand_10dof/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/base_link.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-23^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-24^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-20^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-22^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-558^________ (6) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-564^________ (6) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-560^________ (6) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-254^________ (6) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-264^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (3) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-27^________ (3) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-37^________ (6) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (6) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-30^________ (6) _____10(2)_11.STEP-1,base坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1_0,-0.019249,0.0060458,0.0091693,0,0,0,0.010677,1.12E-06,1.42E-07,-5.97E-08,1.12E-06,1.70E-07,9.96E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_0.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-210^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-167^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-165^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-25^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-185^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-196^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-176^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-186^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-208^________ (4) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (4) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-169^________ (4) _____10(2)_11.STEP-1,j1_0坐标系,j1_0基准轴,j1_0,revolute,0.080305,-0.011222,-0.011454,0.004773,-0.033149,-0.16511,base_link,0,0,-1,100,1,-0.3,0.1,,,,,,,,
j1_1,0.029817,0.016989,3.16E-05,0,0,0,0.017002,2.21E-06,-8.33E-07,-1.67E-09,1.68E-06,-3.13E-09,3.68E-06,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_1.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (9) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-246^________ (9) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (9) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-245^________ (9) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (9) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-247^________ (9) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (9) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-229^________ (9) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (9) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-241^________ (9) _____10(2)_11.STEP-1,j1_1坐标系,j1_1基准轴,j1_1,revolute,0.00020041,-0.017546,-0.0014064,0,0.8773,-1.309,j1_0,0,-1,0,100,1,-1,0,,,,,,,,
j1_2,0.022203,-0.0059329,-0.0022445,0,0,0,0.0075923,2.18E-07,1.11E-09,3.72E-08,7.61E-07,9.80E-10,6.79E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_2.STL,,11.STEP-1/____10(2)^11.STEP-1/____10.1.4-______.sldasm-Part-582^____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-4^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-8^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-600^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-598^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-5^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-9^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-599^________ (2) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (2) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-2^________ (2) _____10(2)_11.STEP-1,j1_2坐标系,j1_2基准轴,j1_2,revolute,0.050043,0.038511,0.006,1.5708,0,0.92834,j1_1,0,1,0,100,1,0,0.7,,,,,,,,
j1_3,0.01327,-0.0019485,-0.0010502,0,0,0,0.0067937,2.88E-07,4.30E-09,-9.69E-08,5.62E-07,1.37E-09,5.94E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j1_3.STL,,11.STEP-1/____10(2)^11.STEP-1/____^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-591^_________10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/____^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-602^_________10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/____^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-1^_________10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/____^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-601^_________10(2)_11.STEP-1,j1_3坐标系,j1_3基准轴,j1_3,revolute,0.044452,-0.00394,-0.0010586,0,0.10443,0,j1_2,0,1,0,100,1,0,1.2,,,,,,,,
j2_0,-0.010013304,-5.74E-05,-0.011829262,0,0,0,0.007877634,3.67E-07,-3.31E-08,-3.43E-08,6.46E-07,-7.32E-09,4.99E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_0.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_0.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-159^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-39^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-86^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-51^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-38^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-49^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-45^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-569^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-568^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-252^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-251^________ (8) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (8) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-69^________ (8) _____10(2)_11.STEP-1,j2_0坐标系,j2_0基准轴,j2_0,revolute,0.14326,-0.0277,0.022226,0.0024137,-0.035099,-0.068676,base_link,0,0,1,100,1,-0.18,0,,,,,,,,
j2_1,0.018536691,0.006034181,-8.47E-05,0,0,0,0.003786719,8.44E-08,8.40E-10,9.98E-09,2.44E-07,5.16E-10,2.29E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_1.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_1.STL,,11.STEP-1/____10(2)^11.STEP-1/____10.1.4-______.sldasm-Part-555^____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-535^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-510^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-509^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-534^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-508^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-511^________ (21) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (21) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-533^________ (21) _____10(2)_11.STEP-1,j2_1坐标系,j2_1基准轴,j2_1,revolute,0.019425,-0.0058,-0.010155,0,0,0,j2_0,0,-1,0,100,1,-1,0,,,,,,,,
j2_2,0.009879329,0.004623375,-0.000265058,0,0,0,0.003614621,1.12E-07,3.64E-09,-1.26E-08,2.34E-07,1.98E-09,2.65E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_2.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_2.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (23) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-536^________ (23) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (23) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-537^________ (23) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (22) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-529^________ (22) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (22) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-523^________ (22) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (22) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-566^________ (22) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (22) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-531^________ (22) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (22) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-522^________ (22) _____10(2)_11.STEP-1,j2_2坐标系,j2_2基准轴,j2_2,revolute,0.033669,0.001775,-0.00082974,0,0.00078074,0,j2_1,0,-1,0,100,1,-1.2,0,,,,,,,,
j2_3,0.010697307,0.003088932,-0.001583867,0,0,0,0.004115265,1.15E-07,5.37E-10,-3.18E-08,2.34E-07,1.47E-10,2.53E-07,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_3.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://lefthand_10dof/meshes/j2_3.STL,,11.STEP-1/____10(2)^11.STEP-1/________ (24) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-565^________ (24) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (24) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-547^________ (24) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (24) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-546^________ (24) _____10(2)_11.STEP-1;11.STEP-1/____10(2)^11.STEP-1/________ (24) ^____10(2)_11.STEP-1/____10.1.4-______.sldasm-Part-548^________ (24) _____10(2)_11.STEP-1,j2_3坐标系,j2_3基准轴,j2_3,revolute,0.026215,0.00128,0.0011655,0,0.047702,0,j2_2,0,-1,0,100,1,-1.2,0,,,,,,,,
